Label,Predicted
Trời quang,Trời quang
Có mây một phần,"Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
Có mây một phần,Có mây một phần
Trời quang,Trời quang
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
Rain,Trời quang
"Mưa, U ám","Mưa, U ám"
"Mưa, U ám","Mưa, U ám"
"Mưa, U ám",U ám
"Mưa, U ám","Mưa, U ám"
"Mưa, U ám","Mưa, U ám"
"Mưa, U ám","Mưa, U ám"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
U ám,"Mưa, U ám"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Trời quang,Trời quang
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Trời quang,Trời quang
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
Trời quang,Trời quang
"Mưa, U ám","Mưa, Có mây một phần"
U ám,U ám
Có mây một phần,Có mây một phần
Trời quang,Trời quang
Có mây một phần,Có mây một phần
"Mưa, U ám","Mưa, U ám"
"Mưa, U ám","Mưa, U ám"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
U ám,"Mưa, U ám"
"Mưa, U ám","Mưa, U ám"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần",Có mây một phần
"Mưa, Có mây một phần",Có mây một phần
Trời quang,Trời quang
Có mây một phần,Có mây một phần
Rain,Trời quang
Có mây một phần,"Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
Có mây một phần,Trời quang
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, U ám","Mưa, U ám"
"Mưa, Có mây một phần","Mưa, U ám"
Trời quang,Trời quang
"Mưa, Có mây một phần","Mưa, Có mây một phần"
U ám,"Mưa, Có mây một phần"
"Mưa, Có mây một phần",Có mây một phần
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Có mây một phần,Có mây một phần
"Mưa, Có mây một phần","Mưa, U ám"
Có mây một phần,Có mây một phần
Có mây một phần,Có mây một phần
Trời quang,Trời quang
"Mưa, Có mây một phần","Mưa, Có mây một phần"
Trời quang,Trời quang
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần","Mưa, Có mây một phần"
"Mưa, Có mây một phần",Có mây một phần
Có mây một phần,Có mây một phần
